"#","Class Name","Schedule","Program","Gender","Age Range","Max Enroll","Current Enroll","Openings","Trials","Make Ups","Price"
"231","Swim_Cls_Sat1:00pm_CRL1/2","Sa  - 01:00 PM - 01:45 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"232","Swim_Cls_Sat1:00pm_CRL","Sa  - 01:00 PM - 01:45 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"233","Swim_Cls_Sat1:00pm_BUB2/3","Sa  - 01:00 PM - 01:30 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"234","Swim_Cls_Sat1:00pm_BUB","Sa  - 01:00 PM - 01:30 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"235","Swim_Cls_Sat11:30am_BUB2/3","Sa  - 11:30 AM - 12:00 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"236","Swim_Cls_Sat11:30am_BUB","Sa  - 11:30 AM - 12:00 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"237","Swim_Cls_Sat11:15am_GLD","Sa  - 11:15 AM - 12:00 PM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"238","Swim_Cls_Sat11:15am_GLD","Sa  - 11:15 AM - 12:00 PM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"239","Swim_Cls_Sat11:15am_CRL","Sa  - 11:15 AM - 12:00 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"240","Swim_Cls_Sat11:00am_SPR/RCR","Sa  - 11:00 AM - 12:00 PM","Swim Classes","C","6 - 17","14","1","13","0","0","$ 248.00"
"241","Swim_Cls_Sat11:00am_PRE-BUB","Sa  - 11:00 AM - 11:30 AM","Swim Classes","C","3 - 4","4","0","4","0","0","$ 226.00"
"242","Swim_Cls_Sat11:00am_PRE-BUB","Sa  - 11:00 AM - 11:30 AM","Swim Classes","C","3 - 4","4","0","4","0","0","$ 226.00"
"243","Swim_Cls_Sat11:00am_CHL/MST","Sa  - 11:00 AM - 12:00 PM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"244","Swim_Cls_Sat10:30am_GLD","Sa  - 10:30 AM - 11:15 AM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"245","Swim_Cls_Sat10:30am_GLD","Sa  - 10:30 AM - 11:15 AM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"246","Swim_Cls_Sat10:30am_CRL1/2","Sa  - 10:30 AM - 11:15 AM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"247","Swim_Cls_Sat10:30am_BUB1","Sa  - 10:30 AM - 11:00 AM","Swim Classes","C","4 - 10","4","1","3","0","0","$ 226.00"
"248","Swim_Cls_Sat10:30am_BUB","Sa  - 10:30 AM - 11:00 AM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"249","Swim_Cls_Sat10:00am_TEEN","Sa  - 10:00 AM - 11:00 AM","Swim Classes","C","8 - 17","14","1","13","0","0","$ 248.00"
"250","Swim_Cls_Sat10:00am_TEEN","Sa  - 10:00 AM - 11:00 AM","Swim Classes","C","8 - 17","14","0","14","0","0","$ 248.00"
"251","Swim_Cls_Sat10:00am_BUB2/3","Sa  - 09:00 AM - 09:30 AM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"252","Swim_Cls_Sat10:00am_BUB2/3","Sa  - 10:00 AM - 10:30 AM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"253","Swim_Cls_Sat10:00am_BUB","Sa  - 10:00 AM - 10:30 AM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"254","Swim_Cls_Mon7:30pm_BUB2/3","M   - 07:30 PM - 08:00 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"255","Swim_Cls_Mon7:30pm_BUB","M   - 07:30 PM - 08:00 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"256","Swim_Cls_Mon7:15pm_GLD","M   - 07:15 PM - 08:00 PM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"257","Swim_Cls_Mon7:15pm_GLD ","M   - 07:15 PM - 08:00 PM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"258","Swim_Cls_Mon7:15pm_CRL","M   - 07:15 PM - 08:00 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"259","Swim_Cls_Mon7:00pm_SPR/RCR","M   - 07:00 PM - 08:00 PM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"260","Swim_Cls_Mon7:00pm_CHL/MST","M   - 07:00 PM - 08:00 PM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"261","Swim_Cls_Mon7:00pm_BUB2/3","M   - 07:00 PM - 07:30 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"262","Swim_Cls_Mon7:00pm_BUB","M   - 07:00 PM - 07:30 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"263","Swim_Cls_Mon6:30pm_GLD","M   - 06:30 PM - 07:15 PM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"264","Swim_Cls_Mon6:30pm_CRL","M   - 06:30 PM - 07:15 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"265","Swim_Cls_Mon6:30pm_CRL","M   - 06:30 PM - 07:15 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"266","Swim_Cls_Mon6:30pm_BUB1/2","M   - 06:30 PM - 07:00 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"267","Swim_Cls_Mon6:30pm_BUB","M   - 06:30 PM - 07:00 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"268","Swim_Cls_Mon6:00pm_SPR/RCR","M   - 06:00 PM - 07:00 PM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"269","Swim_Cls_Mon6:00pm_RCR/CHL/MST","M   - 06:00 PM - 07:00 PM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"270","Swim_Cls_Mon6:00pm_BUB2/3","M   - 06:00 PM - 06:30 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"271","Swim_Cls_Mon6:00pm_BUB","M   - 06:00 PM - 06:30 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"272","Swim_Cls_Mon5:45pm_CRL2/3","M   - 05:45 PM - 06:30 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"273","Swim_Cls_Mon5:45pm_CRL1/2","M   - 05:45 PM - 06:30 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"274","Swim_Cls_Mon5:45pm_CRL1/2","M   - 05:45 PM - 06:30 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
